_id,age,assists,biwengerPoints,biwengerPrice,blocks,concededGoals,date,dribblesAttempts,dribblesSuccess,duelsWon,firstname,foulsCommitted,foulsDrawn,fullname,goals,height,interceptions,isInjured,keyPasses,lastname,matches,minutes,name,nationality,nickname,number,passes,passesAccuracy,penaltiesCommited,penaltiesMissed,penaltiesSaved,penaltiesScored,penaltiesWon,photo,playerId,position,rating,redCards,saves,shotsOn,tackles,team,teamId,teamIdAux,totalDuels,totalShots,weight,yellowCards,yellowredCards
64526cd1f5d94e08eb16b18a,26,1,12,170000,2,0,04/05/1998,18,9,33,Houboulang,13,4,Houboulang Mendes,0,184 cm,7,No,4,Mendes,14,887,Houboulang Mendes ,Guinea-Bissau,Mendes,24,212,10,0,0,0,0,0,https://media.api-sports.io/football/players/20627.png,20627,Defender,6.221428,0,0,0,19,Almeria,1,723,80,1,77 kg,2,0
64526cd2f5d94e08eb16b195,23,2,97,900000,1,0,03/10/2001,15,6,61,El Bilal,25,7,El Bilal Toure,7,185 cm,1,No,14,Toure,21,1273,El Bilal Toure ,Mali,El Bilal,9,253,8,0,0,0,0,0,https://media.api-sports.io/football/players/194750.png,194750,Attacker,6.790476,0,0,14,4,Almeria,1,723,151,25,77 kg,0,0
64526d01f42aadea70ae2f62,27,0,102,2480000,0,37,11/06/1997,0,0,3,Unai,0,1,Unai Simon Mendibil,0,190 cm,0,No,0,Simon Mendibil,31,2745,Unai Simon Mendibil,Spain,Unai Simon,1,794,17,0,0,2,0,0,https://media.api-sports.io/football/players/47270.png,47270,Goalkeeper,6.770967,0,70,0,2,Athletic Club,2,531,3,0,88 kg,2,0
64526d4978c3f4ad5888de2d,26,3,111,8520000,9,0,12/11/1998,25,16,108,Jules Olivier,22,12,Jules Olivier Kounde,1,180 cm,19,No,16,Kounde,29,2428,Jules Olivier Kounde ,France,Kounde,23,1852,56,0,0,0,0,0,https://media.api-sports.io/football/players/1257.png,1257,Defender,7.113793,0,0,2,37,Barcelona,4,529,187,11,75 kg,2,0
64526d4978c3f4ad5888de33,36,4,65,5400000,6,0,16/07/1988,14,11,164,Sergio,31,40,Sergio Busquets Burgos,0,189 cm,27,No,25,Busquets Burgos,30,2347,Sergio Busquets Burgos,Spain,Sergio Busquets,5,1934,57,0,0,0,0,0,https://media.api-sports.io/football/players/144.png,144,Midfielder,7.230000,0,0,2,60,Barcelona,4,529,286,5,73 kg,7,1
64526d62486c0aa1b333c89c,30,0,112,5280000,14,0,12/04/1994,30,22,245,Guido,45,64,Guido Rodriguez,1,185 cm,42,No,11,Rodriguez,34,2876,Guido Rodriguez ,Argentina,Guido Rodriguez,5,1671,43,0,0,0,0,0,https://media.api-sports.io/football/players/2476.png,2476,Midfielder,7.088235,0,0,6,115,Real Betis,5,543,409,17,80 kg,8,0
64526d86bf59f1979f15aa2b,27,0,43,460000,3,0,16/01/1997,19,8,96,Christopher,21,12,Christopher Ramos de la Flor,1,193 cm,1,No,4,Ramos de la Flor,15,705,Christopher Ramos de la Flor,Spain,Chris Ramos,16,138,5,0,0,0,0,0,https://media.api-sports.io/football/players/104792.png,104792,Attacker,6.833333,0,0,6,12,Cadiz,6,724,184,25,80 kg,2,0
64526dacdb5f5cbf69e7738e,26,0,66,1050000,2,0,28/06/1998,22,9,76,Oscar,22,25,Oscar Rodriguez Arnaiz,2,174 cm,24,No,24,Rodriguez Arnaiz,33,1772,Oscar Rodriguez Arnaiz,Spain,Oscar,5,958,25,0,0,0,0,0,https://media.api-sports.io/football/players/47416.png,47416,Midfielder,6.862500,0,0,17,31,Celta Vigo,7,538,156,35,67 kg,6,0
64526dacdb5f5cbf69e77394,37,3,192,19920000,1,0,01/08/1987,45,21,117,Iago,16,57,Iago Aspas Juncal,12,176 cm,7,No,82,Aspas Juncal,37,2865,Iago Aspas Juncal,Spain,Iago Aspas,10,1116,24,0,1,0,2,0,https://media.api-sports.io/football/players/47445.png,47445,Attacker,7.205555,0,0,33,8,Celta Vigo,7,538,262,65,67 kg,5,0
64526dacdb5f5cbf69e77396,30,0,44,410000,1,0,01/08/1994,18,5,58,Gonçalo,19,17,Gonçalo Mendes Paciência,2,184 cm,0,No,6,Mendes Paciência,25,683,Gonçalo Mendes Paciencia ,Portugal,Paciencia,9,152,4,0,0,0,0,0,https://media.api-sports.io/football/players/1830.png,1830,Attacker,6.572727,1,0,7,8,Celta Vigo,7,538,131,16,81 kg,2,0
